Line #,Comment,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GRM1885C1H101JA01D","","C1","","Unknown server","","1","","","","","","",""
"","GRM1885C1H101JA01D","","C2","","Unknown server","","1","","","","","","",""
"","CAP 22uF 6.3V 1206(3216)","CAP 22uF 6.3V กำ20% 1206 (3216 Metric) Thickness 1.9mm SMD","C4","","Unknown server","","1","","","","","","",""
"","GRM188R60J106ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C5","","Unknown server","","1","","","","","","",""
"","C1206C104K1RACTU","CAP CER 0.1UF 100V X7R 1206","C6","","Unknown server","","1","","","","","","",""
"","GRM155R60J475ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X5R, 15%, 20%, 6.3V","C7","","Unknown server","","1","","","","","","",""
"","GRM155R60J475ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X5R, 15%, 20%, 6.3V","C8","","Unknown server","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C9","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C10","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C11","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C12","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C13","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C14","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C15","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C16","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C17","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C18","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C19","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C20","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C21","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C22","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C23","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C24","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C25","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C26","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C27","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C28","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C29","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C30","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C31","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C32","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C33","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C34","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C35","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C36","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C37","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C38","","Not managed","","1","","","","","","",""
"","CAP 22uF 6.3V 1206(3216)","CAP 22uF 6.3V กำ20% 1206 (3216 Metric) Thickness 1.9mm SMD","C40","","Unknown server","","1","","","","","","",""
"","GRM188R60J106ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C41","","Unknown server","","1","","","","","","",""
"","C1206C104K1RACTU","CAP CER 0.1UF 100V X7R 1206","C42","","Unknown server","","1","","","","","","",""
"","PIC32MZ1024ECG064","32-bit Microcontroller","IC1","","Unknown server","","1","","","","","","",""
"","MT9V034C12STM","1/3"" WVGA CMOS Image Sensor","IC2","","Unknown server","","1","","","","","","",""
"","AT42QT1070-MMH","Seven-channel capacitive touch sensor (Comms mode)","IC3","","Not managed","","1","","","","","","",""
"","503480-1000","0.5 mm Pitch Easy-On(TM) BackFlip(TM) Type FPC Connector, 1.0 mm Mated Height, Right Angle, SMT, Dual Contact, 10 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel","J1","","Unknown server","","1","","","","","","",""
"","Socket","Socket","J2","","Not managed","","1","","","","","","",""
"","Socket","Socket","J4","","Not managed","","1","","","","","","",""
"","Socket","Socket","J5","","Not managed","","1","","","","","","",""
"","Socket","Socket","J6","","Not managed","","1","","","","","","",""
"","Socket","Socket","J7","","Not managed","","1","","","","","","",""
"","Socket","Socket","J8","","Not managed","","1","","","","","","",""
"","GRPB051VWVN-RC","No Description Available","J9","","Not managed","","1","","","","","","",""
"","GRPB051VWVN-RC","No Description Available","J10","","Not managed","","1","","","","","","",""
"","GRPB051VWVN-RC","No Description Available","J11","","Not managed","","1","","","","","","",""
"","GRPB051VWVN-RC","No Description Available","J12","","Not managed","","1","","","","","","",""
"","GRPB051VWVN-RC","No Description Available","J13","","Not managed","","1","","","","","","",""
"","GRPB051VWVN-RC","No Description Available","J14","","Not managed","","1","","","","","","",""
"","JUMPER","JUMPER","J15","","Unknown server","","1","","","","","","",""
"","JUMPER","JUMPER","J16","","Unknown server","","1","","","","","","",""
"","BM05B-ADHKS-GAN-ETB","Connector","J17","","Not managed","","1","","","","","","",""
"","SRN3015-4R7M","Semi-shielded Power Inductor, 4.7 uH, +/- 20%, 1.4 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel","L1","","Unknown server","","1","","","","","","",""
"","SRN3015-4R7M","Semi-shielded Power Inductor, 4.7 uH, +/- 20%, 1.4 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel","L2","","Unknown server","","1","","","","","","",""
"","Unpopulated","Generic LED","LED1","","Not managed","","1","","","","","","",""
"","Unpopulated","Generic LED","LED2","","Not managed","","1","","","","","","",""
"","Unpopulated","Generic LED","LED3","","Not managed","","1","","","","","","",""
"","ESP32-WROOM-32","RX TXRX MOD WIFI SURFACE MOUNT","MD1","","Unknown server","","1","","","","","","",""
"","811-S1-006-30-015101","Conn Spring Piston 6POS SMD","P1","","Unknown server","","1","","","","","","",""
"","Header 2","Header, 2-Pin","P2","","Not managed","","1","","","","","","",""
"","LED_strip","Header, 3-Pin","P3","","Not managed","","1","","","","","","",""
"","BSS138BK","N-channel MOSFET with body diode drawn","Q1","","Not managed","","1","","","","","","",""
"","ERJ-3EKF1001V","","R1","","Unknown server","","1","","","","","","",""
"","ERJ-3EKF1001V","","R2","","Unknown server","","1","","","","","","",""
"","1K5","Generic Resistor","R7","","Not managed","","1","","","","","","",""
"","1K5","Generic Resistor","R8","","Not managed","","1","","","","","","",""
"","10K","Generic Resistor","R9","","Not managed","","1","","","","","","",""
"","Unpopulated","Generic Resistor","R10","","Not managed","","1","","","","","","",""
"","10K","Generic Resistor","R11","","Not managed","","1","","","","","","",""
"","1K","Generic Resistor","R12","","Not managed","","1","","","","","","",""
"","1K","Generic Resistor","R13","","Not managed","","1","","","","","","",""
"","10K","Generic Resistor","R14","","Not managed","","1","","","","","","",""
"","330","Generic Resistor","R15","","Not managed","","1","","","","","","",""
"","10K","Generic Resistor","R16","","Not managed","","1","","","","","","",""
"","4K7","Generic Resistor","R17","","Not managed","","1","","","","","","",""
"","47K","Generic Resistor","R18","","Not managed","","1","","","","","","",""
"","47K","Generic Resistor","R19","","Not managed","","1","","","","","","",""
"","4K7","Generic Resistor","R20","","Not managed","","1","","","","","","",""
"","4K7","Generic Resistor","R21","","Not managed","","1","","","","","","",""
"","4K7","Generic Resistor","R22","","Not managed","","1","","","","","","",""
"","4K7","Generic Resistor","R23","","Not managed","","1","","","","","","",""
"","4K7","Generic Resistor","R24","","Not managed","","1","","","","","","",""
"","4K99","Generic Resistor","R25","","Not managed","","1","","","","","","",""
"","26R1, 0.1%, 1/8W","Generic Resistor","R26","","Not managed","","1","","","","","","",""
"","26R1, 0.1%, 1/8W","Generic Resistor","R27","","Not managed","","1","","","","","","",""
"","26R1, 0.1%, 1/8W","Generic Resistor","R28","","Not managed","","1","","","","","","",""
"","10K","Generic Resistor","R29","","Not managed","","1","","","","","","",""
"","10K","Generic Resistor","R30","","Not managed","","1","","","","","","",""
"","SJUMPER3POS","3 pins solder jumper","SJ1","","Unknown server","","1","","","","","","",""
"","B3U-1100P","SWITCH TACTILE SPST-NO 0.05A 12V","SW1","","Unknown server","","1","","","","","","",""
"","B3U-1100P","SWITCH TACTILE SPST-NO 0.05A 12V","SW2","","Unknown server","","1","","","","","","",""
"","TPS61202DRCT","Boost Voltage Converter with 0.3 to 5.5 V Input and 5 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)","U1","","Unknown server","","1","","","","","","",""
"","LP2980AIM5-3.3/NOPB","Micropower 50 mA Ultra Low-Dropout Regulator, 5-pin SOT-23, Pb-Free","U2","","Unknown server","","1","","","","","","",""
"","TLC5947RHBT","24-Channel, 12-Bit PWM LED Driver with Internal Oscillator, 3 to 5.5 V, -40 to 85 degC, 32-pin QFN (RHB32), Green (RoHS & no Sb/Br)","U3","","Unknown server","","1","","","","","","",""
"","TPS61201DRCT","Boost Voltage Converter with 0.3 to 5.5 V Input and 3.3 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)","U4","","Unknown server","","1","","","","","","",""
